Gene	Taxon	Context	Cluster	Abundance	Diversity	Univocity	delta	k-value
potF	s__AAA300-D14 sp002715065	Mesopelagic	C3	1.447	1	1.0	0.416228762882974	0.6022830198916634
potF	s__UBA11889 sp002313255	Bathypelagic	C3	9.921	17	1.0	1.8778315873904063	18.62996717850022
potF	s__UBA11889 sp002313255	Epipelagic	C3	0.525	1	1.0	0.8370222410170507	0.43943667653395163
potF	s__UBA11889 sp002313255	Mesopelagic	C3	24.851	28	1.0	1.6427507742384841	40.82399949060057
potF	s__Sulfitobacter sp001635605	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Sulfitobacter sp001635605	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Sulfitobacter sp001635605	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Maritimibacter alkaliphilus	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Maritimibacter alkaliphilus	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Maritimibacter alkaliphilus	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Marinovum algicola	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Marinovum algicola	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Marinovum algicola	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudooceanicola atlanticus	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudooceanicola atlanticus	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudooceanicola atlanticus	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Thalassococcus halodurans	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Thalassococcus halodurans	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Thalassococcus halodurans	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__UBA1611 sp002321855	Bathypelagic	C3	2.167	3	1.0	0.9453588260085954	2.048592575960626
potF	s__UBA1611 sp002321855	Epipelagic	C3	2.9749999999999996	2	1.0	0.5066053077894231	1.5071507906735337
potF	s__UBA1611 sp002321855	Mesopelagic	C3	60.330000000000005	30	1.0	0.955237809741979	57.6294970617336
potF	s__Aurantimonas coralicida	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Aurantimonas coralicida	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Aurantimonas coralicida	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Agrobacterium tumefaciens_F	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Agrobacterium tumefaciens_F	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Agrobacterium tumefaciens_F	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudomonas_D aestusnigri	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudomonas_D aestusnigri	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Pseudomonas_D aestusnigri	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Hoeflea phototrophica	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Hoeflea phototrophica	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Hoeflea phototrophica	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Marinobacter flavimaris	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Marinobacter flavimaris	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Marinobacter flavimaris	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__Paracoccus sp002294185	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__Paracoccus sp002294185	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__Paracoccus sp002294185	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	s__UBA8309 sp002457765	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	s__UBA8309 sp002457765	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	s__UBA8309 sp002457765	Mesopelagic	C3	0	0	1.0	0.0	0.0
potF	f__Rhodobacteraceae	Bathypelagic	C3	0	0	1.0	0.0	0.0
potF	f__Rhodobacteraceae	Epipelagic	C3	0	0	1.0	0.0	0.0
potF	f__Rhodobacteraceae	Mesopelagic	C3	0	0	1.0	0.0	0.0
